City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,oranjemund,-28.55,16.4333,289.22,44,0,3.42,NA,1690916689
123,rikaze,29.25,88.8833,287.92,67,100,1.52,CN,1690916690
124,newman,37.3138,-121.0208,306.61,15,100,1.34,US,1690916690
125,puerto quijarro,-17.7833,-57.7667,311.08,16,0,1.7,BO,1690916691
126,fortuna,40.5982,-124.1573,290.66,84,20,5.14,US,1690916691
127,port elizabeth,-33.918,25.5701,283.31,93,0,2.06,ZA,1690916692
128,alice springs,-23.7,133.8833,277.9,75,0,0.0,AU,1690916675
129,freetown,8.484,-13.2299,297.99,88,75,7.2,SL,1690916693
130,owase,34.0667,136.2,297.98,90,32,1.43,JP,1690916693
131,broken hill,-31.95,141.4333,282.38,73,0,3.43,AU,1690916694
132,kimbe,-5.5502,150.1429,298.37,84,100,3.94,PG,1690916694
133,berdigestyakh,62.0989,126.6992,282.03,80,6,2.34,RU,1690916694
134,laguna,38.421,-121.4238,304.86,47,0,3.6,US,1690916695
135,ostersund,63.1792,14.6357,287.93,82,20,4.12,SE,1690916550
136,yuzhno-kurilsk,44.0306,145.8556,288.75,99,100,3.29,RU,1690916696
137,sergeyevka,53.88,67.4158,291.11,79,100,3.46,KZ,1690916696
138,udachny,66.4167,112.4,290.07,44,25,1.26,RU,1690916697
139,longyearbyen,78.2186,15.6401,282.06,76,40,1.03,SJ,1690916410
140,igarka,67.4667,86.5833,292.6,66,0,3.45,RU,1690916698
141,hawaiian paradise park,19.5933,-154.9731,299.88,81,40,2.57,US,1690916699
142,ilha de mocambique,-15.0342,40.7358,297.59,69,0,8.06,MZ,1690916699
143,san marcos de colon,13.4333,-86.8,300.0,63,100,3.19,HN,1690916700
144,tommot,58.9564,126.2925,284.08,80,65,1.67,RU,1690916700
145,envira,-7.3,-70.2167,309.73,24,58,1.26,BR,1690916701
146,tamala,52.541,43.2515,291.21,83,88,3.22,RU,1690916702
147,krutaya gorka,55.3649,73.2231,293.53,78,22,1.84,RU,1690916703
148,uturoa,-16.7333,-151.4333,299.5,73,82,7.86,PF,1690916704
149,hithadhoo,-0.6,73.0833,300.85,73,75,2.14,MV,1690916705
150,broome,42.2506,-75.833,297.05,49,75,4.63,US,1690916706
151,san cristobal,7.7669,-72.225,299.25,67,41,3.67,VE,1690916707
152,east ballina,-28.8667,153.5833,285.82,73,41,4.77,AU,1690916707
153,petauke,-14.2426,31.3253,290.39,68,0,5.88,ZM,1690916708
154,pader palwo,2.8006,33.135,292.31,95,89,2.17,UG,1690916708
155,salalah,17.0151,54.0924,299.2,94,100,3.09,OM,1690916709
156,wailua homesteads,22.0669,-159.378,300.59,75,0,7.72,US,1690916710
157,la'ie,21.6477,-157.9253,301.13,71,48,4.02,US,1690916710
158,bereket,39.2446,55.5154,304.54,43,0,3.33,TM,1690916711
159,guayaramerin,-10.8368,-65.3614,308.18,36,0,1.03,BO,1690916711
160,mongo,12.1844,18.693,298.61,78,97,4.41,TD,1690916712
161,quepos,9.4236,-84.1652,301.41,80,100,1.98,CR,1690916712
162,wschowa,51.807,16.3166,290.87,89,96,3.59,PL,1690916713
163,thinadhoo,0.5333,72.9333,300.78,75,33,2.12,MV,1690916714
164,chonchi,-42.6128,-73.8092,282.71,72,100,4.85,CL,1690916592
165,sidney,-33.8679,151.2073,286.46,79,100,4.12,AU,1690916683
166,tynda,55.1667,124.7167,282.04,90,0,2.41,RU,1690916715
167,urucui,-7.2294,-44.5561,309.92,20,0,3.67,BR,1690916609
168,carnarvon,-24.8667,113.6333,292.8,64,27,4.95,AU,1690916716
169,viedma,-40.8135,-62.9967,292.33,21,58,9.52,AR,1690916548
170,utrik,11.2278,169.8474,301.02,77,100,6.53,MH,1690916717
171,higuera de zaragoza,25.95,-109.2833,308.11,45,0,4.77,MX,1690916717
172,fort bragg,35.139,-79.006,304.77,56,75,4.63,US,1690916718
173,jamestown,42.097,-79.2353,297.05,50,40,4.12,US,1690916465
174,goundam,16.4145,-3.6708,314.02,19,88,2.34,ML,1690916719
175,portland,45.5234,-122.6762,300.92,51,0,1.79,US,1690916229
176,arboletes,8.8505,-76.4269,303.76,68,88,2.13,CO,1690916720
177,al kharijah,25.4514,30.5464,307.4,14,0,3.74,EG,1690916721
178,dwarka,22.2394,68.9678,300.64,84,100,9.55,IN,1690916721
179,bagneres-de-bigorre,43.0667,0.15,294.98,73,0,5.14,FR,1690916722
180,manyas,40.0464,27.97,298.06,79,0,1.03,TR,1690916723
181,port mathurin,-19.6833,63.4167,296.52,73,23,10.91,MU,1690916723
182,betio village,1.358,172.9211,299.17,73,25,1.26,KI,1690916724
183,mahina,-17.5065,-149.489,300.02,65,20,1.54,PF,1690916724
184,zahedan,29.4963,60.8629,305.1,12,0,3.09,IR,1690916725
185,saint-philippe,-21.3585,55.7679,293.92,84,23,3.04,RE,1690916731
186,richards bay,-28.783,32.0377,288.34,76,19,1.37,ZA,1690916731
187,vallenar,-28.5708,-70.7581,303.24,19,1,3.0,CL,1690916732
188,papao,-17.75,-149.55,299.97,71,98,9.23,PF,1690916733
189,jabor,5.921,169.6434,300.48,76,72,1.21,MH,1690916734
190,robore,-18.3333,-59.75,307.2,49,0,2.57,BO,1690916734
191,badiyah,22.45,58.8,304.93,48,6,4.88,OM,1690916735
192,maracaju,-21.6144,-55.1683,304.63,24,0,2.05,BR,1690916736
193,san luis de la loma,17.2706,-100.8939,304.5,60,100,2.39,MX,1690916737
194,kayyerkan,69.3786,87.7439,291.65,93,12,3.48,RU,1690916737
195,lospalos,-8.5186,127.0025,292.93,70,5,2.65,TL,1690916738
196,lata,40.1629,-8.3327,295.97,75,31,3.85,PT,1690916738
197,orenburg,51.7727,55.0988,293.18,62,2,3.02,RU,1690916739
198,sechura,-5.5569,-80.8222,300.39,58,51,6.7,PE,1690916739
199,taulaga,-11.0553,-171.0883,300.99,75,6,6.53,AS,1690916740
200,kapuskasing,49.4169,-82.4331,295.2,37,40,1.03,CA,1690916740
201,luderitz,-26.6481,15.1594,290.95,39,0,2.32,NA,1690916741
202,sao joao da barra,-21.6403,-41.0511,299.2,68,20,4.07,BR,1690916555
203,tura,25.5198,90.2201,297.87,90,100,3.83,IN,1690916742
204,ankazoabo,-22.2833,44.5167,290.21,78,8,7.92,MG,1690916742
205,manokwari,-0.8667,134.0833,299.02,82,45,1.34,ID,1690916671
206,neiafu,-18.65,-173.9833,292.53,88,100,3.6,TO,1690916482
207,turpan,42.9333,89.1667,306.39,27,9,1.54,CN,1690916744
208,morgan hill,37.1305,-121.6544,301.4,57,0,3.6,US,1690916744
209,bousso,10.4795,16.7117,297.86,82,15,3.54,TD,1690916744
210,usinsk,65.9939,57.5281,290.37,72,0,4.75,RU,1690916745
211,tindouf,27.6711,-8.1474,320.4,5,20,3.09,DZ,1690916745
212,smithers,54.7804,-127.1743,289.33,67,75,1.03,CA,1690916730
213,nicoya,10.1483,-85.452,302.19,75,100,0.87,CR,1690916747
214,leh,34.1667,77.5833,292.84,37,38,2.22,IN,1690916637
215,afaahiti,-17.75,-149.2833,299.08,73,100,8.76,PF,1690916748
216,cidreira,-30.1811,-50.2056,292.53,77,0,4.06,BR,1690916570
